id,query,category,pred_task_type,gold_task_type,pred_start,gold_start,pred_end,gold_end,pred_constraints,gold_constraints,pred_weights,gold_weights,pred_mode,gold_mode,task_type_match
L1_011,今天天气怎么样,chat,chat,chat,,,,,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_012,从老斋舍到宋卿体育馆，避开爬坡，走风景好的路,multi_slope_scenery,path_planning,path_planning,武汉大学老斋舍,老斋舍,武汉大学宋卿体育馆,宋卿体育馆,"{""distance"": ""medium"", ""slope"": ""avoid"", ""scenery"": ""high""}","{""distance"": ""medium"", ""slope"": ""avoid"", ""scenery"": ""high""}","{""distance"": 0.1, ""slope"": 0.45, ""scenery"": 0.45}","{""distance"": 0.1, ""slope"": 0.45, ""scenery"": 0.45}",walk,walk,1
L1_013,从珞珈门到樱顶，走最短且避开陡坡的路,multi_distance_slope,path_planning,path_planning,珞珈门,珞珈门,武汉大学老斋舍,樱顶,"{""distance"": ""short"", ""slope"": ""avoid"", ""scenery"": ""normal""}","{""distance"": ""short"", ""slope"": ""avoid"", ""scenery"": ""normal""}","{""distance"": 0.45, ""slope"": 0.45, ""scenery"": 0.1}","{""distance"": 0.45, ""slope"": 0.45, ""scenery"": 0.1}",walk,walk,1
L1_014,从珞珈门到樱花大道,edge_alias,path_planning,path_planning,珞珈门,珞珈门,武汉大学樱花大道,樱花大道,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_015,从珞珈们到樱顶,edge_typo,path_planning,path_planning,珞珈们,珞珈门,武汉大学老斋舍,樱顶,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_016,我想从洪波门走到珞瑜门,mode_walk_explicit,path_planning,path_planning,洪波门,洪波门,珞瑜门,珞瑜门,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_017,从珞珈门到樱顶，换条避开陡坡的路,multi_turn_continuation,path_planning,path_planning,珞珈门,珞珈门,武汉大学老斋舍,樱顶,"{""distance"": ""medium"", ""slope"": ""avoid"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""avoid"", ""scenery"": ""normal""}","{""distance"": 0.1, ""slope"": 0.8, ""scenery"": 0.1}","{""distance"": 0.2, ""slope"": 0.6, ""scenery"": 0.2}",walk,walk,1
L1_018,从工学部集贸市场到梅园,simple_path,path_planning,path_planning,武汉大学工学部集贸市场,工学部集贸市场,梅园,梅园,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_019,万林艺术馆怎么去,poi_query,poi_query,poi_query,武汉大学万林艺术博物馆,万林艺术馆,,,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_020,从桂园到月湖怎么走,simple_path,path_planning,path_planning,桂园,桂园,月湖,月湖,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
