id,query,category,pred_task_type,gold_task_type,pred_start,gold_start,pred_end,gold_end,pred_constraints,gold_constraints,pred_weights,gold_weights,pred_mode,gold_mode,task_type_match
L1_011,帮我规划一条珞珈山庄到老樱园食堂的路线,L1_simple,path_planning,path_planning,武汉大学珞珈山,珞珈山庄,老樱园食堂,老樱园食堂,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_012,武汉大学周恩来故居到武汉大学新闻与传播学院咋走,L1_simple,path_planning,path_planning,武汉大学周恩来故居,武汉大学周恩来故居,武汉大学新闻与传播学院,武汉大学新闻与传播学院,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_013,步行，帮我规划一条武汉大学工学部集贸市场到扬波门的路线,L1_simple,path_planning,path_planning,工学部,武汉大学工学部集贸市场,扬波门,扬波门,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_014,走路，弘毅门出发去武汉大学物理学院报告厅,L1_simple,path_planning,path_planning,弘毅门,弘毅门,武汉大学物理学院报告厅,武汉大学物理学院报告厅,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_015,步行，农家小炒(桂园一路)出发去武汉大学电力广场,L1_simple,path_planning,path_planning,桂园,农家小炒(桂园一路),武汉大学电力广场,武汉大学电力广场,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_016,帮我规划一条花焙格各音乐餐吧到茶百道(工学部店)的路线,L1_simple,path_planning,path_planning,花焙格各音乐餐吧,花焙格各音乐餐吧,茶百道(工学部店),茶百道(工学部店),"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_017,武汉大学早期建筑到武汉大学早期建筑工学院咋走,L1_simple,path_planning,path_planning,,武汉大学早期建筑,,武汉大学早期建筑工学院,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_018,从库迪咖啡(信息学部店)到二号教学楼,L1_simple,path_planning,path_planning,库迪咖啡(信息学部店),库迪咖啡(信息学部店),二号教学楼,二号教学楼,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_019,帮我规划一条武汉大学国家文化发展研究院到茶百道(工学部店)的路线,L1_simple,path_planning,path_planning,武汉大学发展研究院,武汉大学国家文化发展研究院,茶百道(工学部店),茶百道(工学部店),"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_020,从武汉大学外国语言文学学院到武汉大学遥感信息工程学院,L1_simple,path_planning,path_planning,武汉大学外国语言文学学院,武汉大学外国语言文学学院,武汉大学遥感信息工程学院,武汉大学遥感信息工程学院,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_021,走路，麻烦问下达美乐比萨(枫园店)去武汉大学电子信息学院的路,L1_simple,path_planning,path_planning,枫园,达美乐比萨(枫园店),武汉大学电子信息学院,武汉大学电子信息学院,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_022,从小肆川(梅园店)去武汉大学人工智能学院怎么走,L1_simple,path_planning,path_planning,小肆川(梅园店),小肆川(梅园店),武汉大学人工智能学院,武汉大学人工智能学院,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_023,麻烦问下武汉大学文澜门去武汉大学宋卿体育馆的路,L1_simple,path_planning,path_planning,武汉大学文澜门,武汉大学文澜门,武汉大学宋卿体育馆,武汉大学宋卿体育馆,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_024,步行从武汉大学教育科学学院去武汉大学电力广场怎么走,L1_simple,path_planning,path_planning,武汉大学教育科学学院,武汉大学教育科学学院,武汉大学电力广场,武汉大学电力广场,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_025,麻烦问下朴大叔拌饭(工学部店)去武汉大学樱花大道的路,L1_simple,path_planning,path_planning,工学部,朴大叔拌饭(工学部店),武汉大学樱花大道,武汉大学樱花大道,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_026,从星湖综合实验大楼到武汉大学樱花大道,L1_simple,path_planning,path_planning,星湖综合实验大楼,星湖综合实验大楼,武汉大学樱花大道,武汉大学樱花大道,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_027,帮我规划一条武汉大学田园食堂到武汉大学信息学部学生三食堂的路线,L1_simple,path_planning,path_planning,武汉大学田园食堂,武汉大学田园食堂,武汉大学信息学部学生三食堂,武汉大学信息学部学生三食堂,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_028,帮我规划一条武汉大学梅园食堂到瑞幸咖啡(信息学部店)的路线,L1_simple,path_planning,path_planning,梅园,武汉大学梅园食堂,瑞幸咖啡(信息学部店),瑞幸咖啡(信息学部店),"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_029,走着去从煎百味(信息学部店)到武汉大学桃园教8楼的步行路线,L1_simple,path_planning,path_planning,煎百味(信息学部店),煎百味(信息学部店),武汉大学桃园教8楼,武汉大学桃园教8楼,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_030,从茶颜悦色(梅园店)到古茗(信息学部店),L1_simple,path_planning,path_planning,茶颜悦色(梅园店),茶颜悦色(梅园店),古茗(信息学部店),古茗(信息学部店),"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_031,武汉大学电子信息学院到武汉大学足球场咋走,L1_simple,path_planning,path_planning,武汉大学电子信息学院,武汉大学电子信息学院,武汉大学足球场,武汉大学足球场,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_032,走着去，帮我规划一条武汉大学信息学部学生一食堂到国立武汉大学日字斋的路线,L1_simple,path_planning,path_planning,走着,武汉大学信息学部学生一食堂,信息学部,国立武汉大学日字斋,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_033,柠季手打柠檬茶(信息学部店)到武汉大学周恩来故居咋走,L1_simple,path_planning,path_planning,柠季手打柠檬茶(信息学部店),柠季手打柠檬茶(信息学部店),武汉大学周恩来故居,武汉大学周恩来故居,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_034,从老樱园食堂去武汉大学信息学部篮球场怎么走,L1_simple,path_planning,path_planning,老樱园食堂,老樱园食堂,武汉大学信息学部篮球场,武汉大学信息学部篮球场,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L1_035,武汉大学信息学部学生一食堂出发去瑞幸咖啡(枫园店),L1_simple,path_planning,path_planning,武汉大学信息学部学生一食堂,武汉大学信息学部学生一食堂,瑞幸咖啡(枫园店),瑞幸咖啡(枫园店),"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,null,walk,walk,1
L2_001,从工学部体育馆到武汉大学城市设计学院，想一路看风景,L2_single_pref,path_planning,path_planning,工学部体育馆,工学部体育馆,武汉大学城市设计学院,武汉大学城市设计学院,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""high""}",null,"{""distance"": 0.175, ""slope"": 0.175, ""scenery"": 0.65}",walk,walk,1
L2_002,帮我规划一条武汉大学足球场到信息学部清真食堂的路线，走平缓一点的路,L2_single_pref,path_planning,path_planning,武汉大学足球场,武汉大学足球场,信息学部,信息学部清真食堂,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""avoid"", ""scenery"": ""normal""}",null,"{""distance"": 0.175, ""slope"": 0.65, ""scenery"": 0.175}",walk,walk,1
L2_003,麻烦问下武汉大学人文社会科学研究院去孃孃出川(枫园店)的路，膝盖不好不想爬坡,L2_single_pref,path_planning,path_planning,武汉大学人文社会科学研究院,武汉大学人文社会科学研究院,孃孃出川(枫园店),孃孃出川(枫园店),"{""distance"": ""medium"", ""slope"": ""avoid"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""avoid"", ""scenery"": ""normal""}","{""distance"": 0.1, ""slope"": 0.8, ""scenery"": 0.1}","{""distance"": 0.175, ""slope"": 0.65, ""scenery"": 0.175}",walk,walk,1
L2_004,武汉大学信息学部星湖教3楼到武汉大学珞珈广场咋走，哪条路最短,L2_single_pref,path_planning,path_planning,武汉大学信息学部星湖教3楼,武汉大学信息学部星湖教3楼,武汉大学珞珈广场,武汉大学珞珈广场,"{""distance"": ""short"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""short"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": 0.8, ""slope"": 0.1, ""scenery"": 0.1}","{""distance"": 0.8, ""slope"": 0.1, ""scenery"": 0.1}",walk,walk,1
L2_005,步行从好味道粉面馆(武大店)到布咖啡(武汉大学校园店)，避开陡坡,L2_single_pref,path_planning,path_planning,好味道粉面馆(武大店),好味道粉面馆(武大店),布咖啡(武汉大学校园店),布咖啡(武汉大学校园店),"{""distance"": ""medium"", ""slope"": ""avoid"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""avoid"", ""scenery"": ""normal""}","{""distance"": 0.1, ""slope"": 0.8, ""scenery"": 0.1}","{""distance"": 0.175, ""slope"": 0.65, ""scenery"": 0.175}",walk,walk,1
L2_006,我想从不颠哥港式甜品店(武大店)走到武汉大学早期建筑图书馆，想一路看风景,L2_single_pref,path_planning,path_planning,不颠哥港式甜品店(武大店),不颠哥港式甜品店(武大店),武汉大学图书馆(总馆),武汉大学早期建筑图书馆,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""high""}",null,"{""distance"": 0.175, ""slope"": 0.175, ""scenery"": 0.65}",walk,walk,1
L2_007,走着去，星湖体育馆到遇见小面(工学部店)咋走，膝盖不好不想爬坡,L2_single_pref,path_planning,path_planning,走着,星湖体育馆,星湖,遇见小面(工学部店),"{""distance"": ""medium"", ""slope"": ""avoid"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""avoid"", ""scenery"": ""normal""}","{""distance"": 0.1, ""slope"": 0.8, ""scenery"": 0.1}","{""distance"": 0.175, ""slope"": 0.65, ""scenery"": 0.175}",walk,walk,1
L2_008,走着去，麻烦问下珞珈山下文创咖啡去爷爷不泡茶(田园店)的路，走风景好的路,L2_single_pref,path_planning,path_planning,走着,珞珈山下文创咖啡,武汉大学田园食堂,爷爷不泡茶(田园店),"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""high""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""high""}","{""distance"": 0.1, ""slope"": 0.1, ""scenery"": 0.8}","{""distance"": 0.175, ""slope"": 0.175, ""scenery"": 0.65}",walk,walk,1
L2_009,步行，麻烦问下有家黄焖鸡(武大店)去茶颜悦色(梅园店)的路，赶时间，要最快的路线,L2_single_pref,path_planning,path_planning,有家黄焖鸡(武大店),有家黄焖鸡(武大店),茶颜悦色(梅园店),茶颜悦色(梅园店),"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""short"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,"{""distance"": 0.8, ""slope"": 0.1, ""scenery"": 0.1}",walk,walk,1
L2_010,麻烦问下武汉大学文理学部第二教学楼去武汉大学社会学院的路，赶时间，要最快的路线,L2_single_pref,path_planning,path_planning,武汉大学文理学部第二教学楼,武汉大学文理学部第二教学楼,武汉大学社会学院,武汉大学社会学院,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""short"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,"{""distance"": 0.8, ""slope"": 0.1, ""scenery"": 0.1}",walk,walk,1
L2_011,走路从皇冠幸福里(工学部店)到武汉大学狮子山(樱园西路)，哪条路最短,L2_single_pref,path_planning,path_planning,皇冠幸福里(工学部店),皇冠幸福里(工学部店),武汉大学狮子山(樱园西路),武汉大学狮子山(樱园西路),"{""distance"": ""short"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""short"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": 0.8, ""slope"": 0.1, ""scenery"": 0.1}","{""distance"": 0.8, ""slope"": 0.1, ""scenery"": 0.1}",walk,walk,1
L2_012,从蜜雪冰城(枫园店)到星湖体育馆的步行路线，走风景好的路,L2_single_pref,path_planning,path_planning,蜜雪冰城(枫园店),蜜雪冰城(枫园店),星湖,星湖体育馆,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""high""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""high""}","{""distance"": 0.1, ""slope"": 0.1, ""scenery"": 0.8}","{""distance"": 0.175, ""slope"": 0.175, ""scenery"": 0.65}",walk,walk,1
L2_013,走路从星湖体育馆到武汉大学老斋舍的步行路线，哪条路最短,L2_single_pref,path_planning,path_planning,星湖体育馆,星湖体育馆,武汉大学老斋舍,武汉大学老斋舍,"{""distance"": ""short"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""short"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": 0.8, ""slope"": 0.1, ""scenery"": 0.1}","{""distance"": 0.8, ""slope"": 0.1, ""scenery"": 0.1}",walk,walk,1
L2_014,从瑞幸咖啡(枫园店)到小伙计(工学部店)的步行路线，走风景好的路,L2_single_pref,path_planning,path_planning,瑞幸咖啡(枫园店),瑞幸咖啡(枫园店),小伙计(工学部店),小伙计(工学部店),"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""high""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""high""}","{""distance"": 0.1, ""slope"": 0.1, ""scenery"": 0.8}","{""distance"": 0.175, ""slope"": 0.175, ""scenery"": 0.65}",walk,walk,1
L2_015,帮我规划一条蔬三时轻食(武大校内店)到瑞幸咖啡(湖滨店)的路线，别走台阶,L2_single_pref,path_planning,path_planning,蔬三时轻食(武大校内店),蔬三时轻食(武大校内店),瑞幸咖啡(湖滨店),瑞幸咖啡(湖滨店),"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""avoid"", ""scenery"": ""normal""}",null,"{""distance"": 0.175, ""slope"": 0.65, ""scenery"": 0.175}",walk,walk,1
L2_016,麻烦问下书亦烧仙草(工学部店)去武汉大学科学技术发展研究院的路，膝盖不好不想爬坡,L2_single_pref,path_planning,path_planning,工学部,书亦烧仙草(工学部店),武汉大学科学技术发展研究院,武汉大学科学技术发展研究院,"{""distance"": ""medium"", ""slope"": ""avoid"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""avoid"", ""scenery"": ""normal""}","{""distance"": 0.1, ""slope"": 0.8, ""scenery"": 0.1}","{""distance"": 0.175, ""slope"": 0.65, ""scenery"": 0.175}",walk,walk,1
L2_017,武汉大学水利水电学院出发去好味道粉面馆(武大店)，走风景好的路,L2_single_pref,path_planning,path_planning,武汉大学水利水电学院,武汉大学水利水电学院,好味道粉面馆(武大店),好味道粉面馆(武大店),"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""high""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""high""}","{""distance"": 0.1, ""slope"": 0.1, ""scenery"": 0.8}","{""distance"": 0.175, ""slope"": 0.175, ""scenery"": 0.65}",walk,walk,1
L2_018,帮我规划一条星湖综合实验大楼到武汉大学信息学部2教学楼的路线，想一路看风景,L2_single_pref,path_planning,path_planning,星湖,星湖综合实验大楼,武汉大学信息学部2教学楼,武汉大学信息学部2教学楼,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""high""}",null,"{""distance"": 0.175, ""slope"": 0.175, ""scenery"": 0.65}",walk,walk,1
L2_019,从武汉大学刘少奇研究中心到蜜雪冰城(枫园店)，赶时间，要最快的路线,L2_single_pref,path_planning,path_planning,武汉大学刘少奇研究中心,武汉大学刘少奇研究中心,蜜雪冰城(枫园店),蜜雪冰城(枫园店),"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""short"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,"{""distance"": 0.8, ""slope"": 0.1, ""scenery"": 0.1}",walk,walk,1
L2_020,从武汉大学社会主义学院去武汉大学城市设计学院怎么走，赶时间，要最快的路线,L2_single_pref,path_planning,path_planning,武汉大学社会主义学院,武汉大学社会主义学院,武汉大学城市设计学院,武汉大学城市设计学院,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""short"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,"{""distance"": 0.8, ""slope"": 0.1, ""scenery"": 0.1}",walk,walk,1
L2_021,步行从武汉大学信息学部1号教学楼到茶百道(工学部店)，走风景好的路,L2_single_pref,path_planning,path_planning,武汉大学信息学部1号教学楼,武汉大学信息学部1号教学楼,茶百道(工学部店),茶百道(工学部店),"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""high""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""high""}","{""distance"": 0.1, ""slope"": 0.1, ""scenery"": 0.8}","{""distance"": 0.175, ""slope"": 0.175, ""scenery"": 0.65}",walk,walk,1
L2_022,从武汉大学信息学部体育馆去扬波门怎么走，挑景色漂亮的路,L2_single_pref,path_planning,path_planning,武汉大学信息学部体育馆,武汉大学信息学部体育馆,扬波门,扬波门,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""high""}",null,"{""distance"": 0.175, ""slope"": 0.175, ""scenery"": 0.65}",walk,walk,1
L2_023,工学部清真食堂出发去瑞幸咖啡(湖滨店)，不着急，慢慢走,L2_single_pref,path_planning,path_planning,工学部,工学部清真食堂,瑞幸咖啡(湖滨店),瑞幸咖啡(湖滨店),"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""relaxed"", ""slope"": ""normal"", ""scenery"": ""normal""}",null,"{""distance"": 0.65, ""slope"": 0.175, ""scenery"": 0.175}",walk,walk,1
L2_024,武汉大学生命科学学院出发去武汉大学信息学部图书馆，别走台阶,L2_single_pref,path_planning,path_planning,武汉大学生命科学学院,武汉大学生命科学学院,武汉大学信息学部图书馆,武汉大学信息学部图书馆,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""avoid"", ""scenery"": ""normal""}",null,"{""distance"": 0.175, ""slope"": 0.65, ""scenery"": 0.175}",walk,walk,1
L2_025,走着去从秀味馄饨(工学部店)去孃孃出川(枫园店)怎么走，哪条路最短,L2_single_pref,path_planning,path_planning,秀味馄饨(工学部店),秀味馄饨(工学部店),孃孃出川(枫园店),孃孃出川(枫园店),"{""distance"": ""short"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""short"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": 0.8, ""slope"": 0.1, ""scenery"": 0.1}","{""distance"": 0.8, ""slope"": 0.1, ""scenery"": 0.1}",walk,walk,1
L2_026,走路，麻烦问下老樱园食堂去武汉大学枫园阅览室的路，想一路看风景,L2_single_pref,path_planning,path_planning,樱园,老樱园食堂,武汉大学枫园,武汉大学枫园阅览室,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""high""}",null,"{""distance"": 0.175, ""slope"": 0.175, ""scenery"": 0.65}",walk,walk,1
L2_027,从小肆川(梅园店)到武汉大学电力广场，避开陡坡,L2_single_pref,path_planning,path_planning,小肆川(梅园店),小肆川(梅园店),武汉大学电力广场,武汉大学电力广场,"{""distance"": ""medium"", ""slope"": ""avoid"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""avoid"", ""scenery"": ""normal""}","{""distance"": 0.1, ""slope"": 0.8, ""scenery"": 0.1}","{""distance"": 0.175, ""slope"": 0.65, ""scenery"": 0.175}",walk,walk,1
L2_028,走着去，麻烦问下梅园教工食堂去武汉大学鲲鹏广场的路，走最近的路,L2_single_pref,path_planning,path_planning,走着,梅园教工食堂,梅园,武汉大学鲲鹏广场,"{""distance"": ""short"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""short"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": 0.8, ""slope"": 0.1, ""scenery"": 0.1}","{""distance"": 0.8, ""slope"": 0.1, ""scenery"": 0.1}",walk,walk,1
L2_029,武汉大学枫园出发去珞南门，走适合拍照的路线,L2_single_pref,path_planning,path_planning,武汉大学枫园,武汉大学枫园,珞南门,珞南门,"{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""normal""}","{""distance"": ""medium"", ""slope"": ""normal"", ""scenery"": ""high""}",null,"{""distance"": 0.175, ""slope"": 0.175, ""scenery"": 0.65}",walk,walk,1
