id,学部,类型,名称,经度,纬度,别名,高德地址,需重点核对
poi_031,文理学部,教学科研,武汉大学文理学部第4教学楼,114.361873,30.536837,4教 / 四教 / 教4 / 教四 / 文理学部第4教学楼 / 文理学部第四教学楼,八一路299号,★
poi_032,文理学部,教学科研,武汉大学文理学部第二教学楼,114.361807,30.538905,2教 / 二教 / 教2 / 教二 / 文理学部第二教学楼 / 第2教学楼,珞珈山16号武汉大学桂园三路附近,★
poi_033,文理学部,教学科研,武汉大学新型电力系统与国际标准研究院,114.362556,30.54415,,东湖南路72号,
poi_034,文理学部,教学科研,武汉大学早期建筑图书馆,114.363673,30.540194,早期建筑图书馆 / 校史馆 / 樱顶老图 / 武大老图 / 武汉大学校史馆 / 珞珈讲坛,八一路299号武汉大学文理学部内,
poi_035,文理学部,教学科研,武汉大学早期建筑工学院,114.366458,30.537558,奥林匹克操场 / 工学大楼 / 早期建筑工学院 / 老工学院 / 行政楼,珞珈山街道八一路299号武汉大学,
poi_036,文理学部,教学科研,武汉大学早期建筑法学院,114.363005,30.539769,早期建筑法学院 / 樱顶壁画 / 武汉大学质量发展战略研究院 / 质量发展战略研究院,珞珈山街道八一路299号武汉大学,
poi_037,文理学部,教学科研,武汉大学机器人学院,114.357486,30.534687,机器人学院 / 珞珈数咖,天鹅路与八一路交叉口东140米,
poi_038,文理学部,教学科研,武汉大学枫园教学楼,114.374585,30.537146,枫园教学楼,珞珈山街道武汉大学文理学部枫园教学楼,
poi_039,文理学部,教学科研,武汉大学枫园阅览室,114.371654,30.537071,枫园阅览室,珞珈山街道八一路299号武汉大学,
poi_040,文理学部,教学科研,武汉大学桃园教8楼,114.362456,30.542581,教八 / 教八楼 / 桃园教8楼 / 桃园教八 / 武汉大学水利水电工程实验教学中心 / 水利水电工程实验教学中心,桃园教八楼（高德核实）,
poi_041,文理学部,教学科研,武汉大学水利水电学院,114.36244,30.542436,工8教 / 工学部8号教学楼 / 工学部8教 / 水利水电学院,东湖南路8号武汉大学桃园教8楼,
poi_042,文理学部,教学科研,武汉大学水力机械过渡过程教育部重点实验室(弘毅大道),114.363482,30.542099,机电实验楼 / 武汉大学水利水电工程实验教学中心水电站过渡过程与控制实验室,珞珈山街道八一路299号武汉大学,
poi_043,文理学部,教学科研,武汉大学水工程科学研究院,114.361925,30.544325,水工程科学研究院,东湖南路8号,
poi_044,文理学部,教学科研,武汉大学物理学院报告厅,114.362268,30.534306,武汉大学物理科学与技术学院 / 物理学院报告厅 / 物理科学与技术学院 / 物院老楼,物理学院1层,
poi_045,文理学部,教学科研,武汉大学物理学院新楼,114.363086,30.533811,物理学院新楼 / 物院新楼,珞珈山街道八一路299号武汉大学,
poi_046,文理学部,教学科研,武汉大学理学院,114.365979,30.540196,理学院,珞珈山16号武汉大学樱花大道附近,
poi_047,文理学部,教学科研,武汉大学生命科学学院,114.36061,30.533352,生命科学学院 / 逸夫楼,珞珈山街道八一路299号武汉大学,
poi_048,文理学部,教学科研,武汉大学生命科学学院实验动物中心,114.362739,30.532853,生命科学学院实验动物中心,珞珈山街道八一路299号武汉大学,
poi_049,文理学部,教学科研,武汉大学生命科学学院附楼,114.362197,30.532803,生命科学学院附楼,珞珈山街道八一路299号武汉大学,
poi_050,文理学部,教学科研,武汉大学电子信息学院,114.358407,30.537939,东科技楼 / 于刚·宋晓楼 / 电子信息学院 / 电子信息学院东科技楼,八一路299号(武汉大学),
poi_051,文理学部,教学科研,武汉大学电子信息学院教学实验中心,114.356957,30.538765,电子信息学院教学实验中心,珞珈山16号武汉大学茶港路附近,
poi_052,文理学部,教学科研,武汉大学电子信息学院海态实验室,114.357168,30.539254,武汉大学电子信息学院无线电海洋遥感实验室 / 电子信息学院海态实验室 / 计算机学院大楼,武汉大学文理学部计算机大楼G103,
poi_053,文理学部,教学科研,武汉大学社会主义学院,114.36436,30.532514,社会主义学院,珞珈山街道八一路299号武汉大学,
poi_054,文理学部,教学科研,武汉大学社会保障研究中心,114.367525,30.538375,社会保障研究中心,珞珈山街道珞珈山路369号,
poi_055,文理学部,教学科研,武汉大学科学技术发展研究院,114.359734,30.542614,科学技术发展研究院,武汉大学文理学部地标。,
poi_056,文理学部,教学科研,武汉大学第五教学楼,114.361426,30.53616,5教 / 五教 / 教5 / 教五 / 教五多功能报告厅 / 教五楼,珞珈山路16号武汉大学文理学部内,★
poi_057,文理学部,教学科研,武汉大学董辅礽经济社会发展研究院,114.367178,30.535569,研究生院 / 董辅礽经济社会发展研究院,八一路299号武汉大学,
poi_058,文理学部,教学科研,武汉大学计算机学院,114.35739,30.538783,武汉大学计算机学院大楼 / 计算机学院 / 计算机学院大楼,桂园餐厅,
poi_059,文理学部,教学科研,武汉大学资源与环境科学学院环境工程系,114.363065,30.544705,,珞珈山街道八一路299号武汉大学,
poi_060,文理学部,教学科研,武汉大学雷达与信号处理实验室,114.358532,30.537553,雷达与信号处理实验室,珞珈山街道八一路299号武汉大学,
poi_061,文理学部,教学科研,武汉大学高等研究院,114.360417,30.532478,喻鹏楼 / 国家卓越工程师学院 / 武汉大学国家卓越工程师学院 / 高等研究院,八一路273号喻鹏楼,
poi_062,文理学部,教学科研,武汉数学与智能研究院,114.357153,30.534222,,雷军科技楼8-9楼,
poi_063,文理学部,教学科研,武汉数据智能研究院,114.353266,30.542591,,阳光大厦(珞狮路)5层,
poi_064,文理学部,教学科研,武汉震旦法商专修学院(武大校区),114.35549,30.536088,,洪山侧路34号,
poi_065,文理学部,教学科研,湖北经济学院四眼井,114.356125,30.531025,,珞狮路辅路与珞珈山路交叉口东100米,
poi_066,文理学部,教学科研,湖北经济学院洪山校区学生宿舍,114.356025,30.529525,,求是大道与星湖三路交叉口西160米,
poi_067,文理学部,食堂,枫园风味食堂,114.372422,30.537298,枫园CBD / 枫园风味,武汉大学工学部食堂，提供日常餐饮。,
poi_068,文理学部,食堂,桂园一食堂,114.359204,30.538519,桂1食堂 / 桂一食堂 / 桂园一,武汉大学文理学部食堂，提供日常餐饮。,
poi_069,文理学部,食堂,桂园二食堂,114.358944,30.538481,桂2食堂 / 桂二食堂 / 桂园二,武汉大学文理学部食堂，提供日常餐饮。,
poi_070,文理学部,食堂,桂园食堂,114.359138,30.538316,,武汉大学文理学部食堂，提供日常餐饮。,
poi_071,文理学部,食堂,梅园教工食堂,114.364429,30.535289,梅园教工,武汉大学文理学部食堂，提供日常餐饮。,
poi_072,文理学部,食堂,武汉大学枫园食堂,114.37176,30.537077,枫园宿舍 / 枫园食堂 / 法学院一带 / 留学生区,珞珈山16号武汉大学,
poi_073,文理学部,食堂,武汉大学梅园食堂,114.364624,30.535593,梅园食堂,珞珈山街道八一路299号武汉大学,
poi_074,文理学部,食堂,武汉大学湖滨风味食堂,114.370324,30.541427,湖滨风味 / 湖滨风味食堂 / 湖滨食堂,八一路483号武汉大学校内,
poi_075,文理学部,食堂,武汉大学田园食堂(暂停营业),114.357714,30.542155,田园 / 田园食堂 / 田园食堂(暂停营业) / 青年教师公寓55栋,珞珈山街道八一路299号武汉大学,
poi_076,文理学部,食堂,老樱园食堂,114.361894,30.539769,老樱园,武汉大学文理学部食堂，提供日常餐饮。,
poi_077,文理学部,体育,凌波门游泳池,114.371448,30.543311,凌波门游泳池-栈桥日出,武汉大学工学部体育设施。,
poi_078,文理学部,体育,梅园排球场,114.3643,30.538239,,武汉大学文理学部体育设施。,
poi_079,文理学部,体育,梅园羽毛球场,114.364117,30.535915,,武汉大学文理学部体育设施。,
poi_080,文理学部,体育,武汉大学九一二运动场,114.366465,30.538735,九一二运动场,珞珈山街道八一路299号武汉大学,
poi_081,文理学部,体育,武汉大学宋卿体育馆,114.361704,30.538244,与宋卿体育馆牌匾合影 / 宋卿体育馆 / 宋卿体育馆健身房 / 武大体育馆 / 武大老体育馆 / 武汉大学与宋卿体育馆牌匾合影,八一路299号珞珈山武汉大学,
poi_082,文理学部,体育,武汉大学梅园操场,114.3648,30.538499,梅园小操场 / 梅园操场,武汉大学(近樱花大道),
poi_083,文理学部,体育,武汉大学篮球场(文体路),114.36376,30.53799,梅园篮球场 / 篮球场(文体路),珞珈山街道八一路299号武汉大学,
poi_084,文理学部,体育,武汉大学网球场,114.363546,30.541563,工学部网球场 / 网球场,东湖南路140附近,
poi_085,文理学部,体育,武汉大学足球场,114.36062,30.538019,桂园操场 / 武汉大学桂园操场 / 足球场,珞珈山八一路483号武汉大学内,
poi_086,文理学部,体育,武汉大学风雨操场,114.359697,30.538271,风雨操场,八一路483号武汉大学工学部,
poi_087,文理学部,寝室,枫园六舍、七舍,114.373459,30.536953,枫6 / 枫6舍 / 枫7 / 枫7舍 / 枫七 / 枫七舍,武汉大学工学部学生宿舍区。,★
poi_088,文理学部,寝室,桂园一舍,114.358841,30.538777,桂1 / 桂1舍 / 桂一 / 桂一舍 / 桂园1舍,武汉大学文理学部学生宿舍区。,★
poi_089,文理学部,寝室,梅园五舍,114.365485,30.536475,梅5 / 梅5舍 / 梅五 / 梅五舍 / 梅园5舍,武汉大学文理学部学生宿舍区。,★
poi_090,文理学部,寝室,梅园四舍,114.365085,30.536308,梅4 / 梅4舍 / 梅四 / 梅四舍 / 梅园4舍,武汉大学文理学部学生宿舍区。,★
poi_091,文理学部,寝室,武汉大学学生14舍,114.364586,30.541436,学生14舍,珞珈山街道八一路299号武汉大学,★
poi_092,文理学部,寝室,武汉大学枫园10舍,114.37389,30.537307,枫10 / 枫10舍 / 枫十 / 枫十舍 / 枫园10舍 / 枫园十舍,珞珈山街道八一路299号武汉大学,★
poi_093,文理学部,寝室,武汉大学枫园11舍,114.371977,30.538092,枫11 / 枫11舍 / 枫十一 / 枫十一舍 / 枫园11舍 / 枫园十一舍,侧船山路附近,★
poi_094,文理学部,寝室,武汉大学枫园12舍,114.372052,30.537715,枫12 / 枫12舍 / 枫十二 / 枫十二舍 / 枫园12舍 / 枫园十二舍,珞珈山路16号武汉大学,★
poi_095,文理学部,寝室,武汉大学枫园13舍,114.372624,30.538293,枫13 / 枫13舍 / 枫十三 / 枫十三舍 / 枫园13舍 / 枫园十三舍,珞珈山路16号武汉大学,★
poi_096,文理学部,寝室,武汉大学枫园14舍,114.36947,30.537105,枫14 / 枫14舍 / 枫十四 / 枫十四舍 / 枫园14舍 / 枫园十四舍,珞珈山16号武汉大学,★
poi_097,文理学部,寝室,武汉大学枫园1舍,114.371249,30.537896,枫1 / 枫1舍 / 枫一 / 枫一舍 / 枫园1舍 / 枫园一舍,珞珈山16号武汉大学,★
poi_098,文理学部,寝室,武汉大学枫园2舍,114.371222,30.537443,枫2 / 枫2舍 / 枫二 / 枫二舍 / 枫园2舍 / 枫园二舍,八一路299号武汉大学内,★
poi_099,文理学部,寝室,武汉大学枫园3舍,114.370827,30.537132,枫园3舍,珞珈山路16号武汉大学,★
poi_100,文理学部,寝室,武汉大学枫园4舍,114.372934,30.537211,枫4 / 枫4舍 / 枫四 / 枫四舍 / 枫园4舍 / 枫园四舍,珞珈山16号武汉大学,★
poi_101,文理学部,寝室,武汉大学枫园5舍,114.372941,30.536944,枫5 / 枫5舍 / 枫五 / 枫五舍 / 枫园5舍 / 枫园五舍,八一路299号武汉大学内,★
poi_102,文理学部,寝室,武汉大学枫园8舍,114.373935,30.537001,枫8 / 枫8舍 / 枫八 / 枫八舍 / 枫园8舍 / 枫园八舍,东湖南路14附近,★
poi_103,文理学部,寝室,武汉大学枫园9舍,114.373469,30.537265,枫9 / 枫9舍 / 枫九 / 枫九舍 / 枫园9舍 / 枫园九舍,珞珈山16号武汉大学,★
poi_104,文理学部,寝室,武汉大学枫园留学生宿舍,114.365975,30.543575,工学部三、四 / 工学部三、四食堂 / 枫园留学生宿舍 / 珞珈·工学天地,松园东路与松园北路交叉口南80米,
poi_105,文理学部,寝室,武汉大学枫园留学生宿舍三号楼D区,114.372475,30.537525,枫园留学生宿舍三号楼D区,侧船山路与枫园路交叉口北80米,
poi_106,文理学部,寝室,武汉大学桂园2舍,114.358706,30.53913,桂2 / 桂2舍 / 桂二 / 桂二舍 / 桂园2舍 / 桂园二舍,珞珈山16号武汉大学,★
poi_107,文理学部,寝室,武汉大学桂园3舍,114.358724,30.539466,桂3 / 桂3舍 / 桂三 / 桂三舍 / 桂园3舍 / 桂园三舍,桂园二路附近,★
poi_108,文理学部,寝室,武汉大学桂园4舍,114.358469,30.539727,桂4 / 桂4舍 / 桂四 / 桂四舍 / 桂园4舍 / 桂园四舍,珞珈山16号武汉大学,★
poi_109,文理学部,寝室,武汉大学桂园5舍,114.359418,30.539164,桂5 / 桂5舍 / 桂五 / 桂五舍 / 桂园5舍 / 桂园五舍,桂园三路和桂园路的交叉口附近,★
poi_110,文理学部,寝室,武汉大学桂园6舍,114.359301,30.539586,桂6 / 桂6舍 / 桂六 / 桂六舍 / 桂园6舍 / 桂园六舍,珞珈山16号武汉大学,★
poi_111,文理学部,寝室,武汉大学桂园7舍,114.359247,30.539873,桂7 / 桂7舍 / 桂七 / 桂七舍 / 桂园7舍 / 桂园七舍,珞珈山16号武汉大学,★
poi_112,文理学部,寝室,武汉大学桂园8舍,114.360026,30.539701,桂8 / 桂8舍 / 桂八 / 桂八舍 / 桂园8舍 / 桂园八舍,珞珈山16号武汉大学,★
poi_113,文理学部,寝室,武汉大学桂园9舍,114.359052,30.540082,桂9 / 桂9舍 / 桂九 / 桂九舍 / 桂园9舍 / 桂园九舍,八一路299号武汉大学内,★
poi_114,文理学部,寝室,武汉大学梅园2舍,114.3641,30.536497,梅2 / 梅2舍 / 梅二 / 梅二舍 / 梅园2舍 / 梅园二舍,珞珈山16号武汉大学,★
poi_115,文理学部,寝室,武汉大学梅园3舍,114.364737,30.536915,梅3 / 梅3舍 / 梅三 / 梅三舍 / 梅园3舍 / 梅园三舍,珞珈山16号武汉大学,★
poi_116,文理学部,寝室,武汉大学梅园6舍,114.364113,30.536219,梅6 / 梅6舍 / 梅六 / 梅六舍 / 梅园6舍 / 梅园六舍,珞珈山16号武汉大学,★
poi_117,文理学部,寝室,武汉大学梅园一舍,114.363948,30.536793,梅1 / 梅1舍 / 梅一 / 梅一舍 / 梅园1舍 / 梅园一舍,珞珈山16号,★
poi_118,文理学部,寝室,武汉大学樱园学生1宿舍,114.364655,30.539718,樱1 / 樱1舍 / 樱一 / 樱一舍 / 樱园1舍 / 樱园一舍,珞珈山街道八一路299号武汉大学,
poi_119,文理学部,寝室,武汉大学樱园学生3宿舍,114.36378,30.539437,樱3 / 樱3舍 / 樱三 / 樱三舍 / 樱园3舍 / 樱园三舍,珞珈山街道八一路299号武汉大学,
poi_120,文理学部,寝室,武汉大学樱园学生4宿舍,114.363236,30.539353,樱4 / 樱4舍 / 樱四 / 樱四舍 / 樱园4舍 / 樱园四舍,珞珈山街道八一路299号武汉大学,
poi_121,文理学部,寝室,武汉大学湖滨15舍,114.368173,30.542545,湖滨15舍 / 湖滨十五舍,八一路299号武汉大学,★
poi_122,文理学部,寝室,武汉大学湖滨学生宿舍10舍,114.369917,30.542467,武汉大学湖滨学生宿舍 / 湖滨10舍 / 湖滨十舍 / 湖滨学生宿舍 / 湖滨学生宿舍10舍,八一路299号,★
poi_123,文理学部,寝室,武汉大学湖滨学生宿舍11舍,114.369508,30.542921,湖滨11舍 / 湖滨十一舍 / 湖滨十二舍 / 湖滨学生宿舍11舍,八一路299号武汉大学内,★
poi_124,文理学部,寝室,武汉大学湖滨学生宿舍1舍,114.369975,30.541026,湖滨1舍 / 湖滨一舍 / 湖滨学生宿舍1舍,八一路299号武汉大学内,★
poi_125,文理学部,寝室,武汉大学湖滨学生宿舍3舍,114.371274,30.541143,湖滨3舍 / 湖滨三舍 / 湖滨学生宿舍3舍,八一路299号武汉大学内,★
poi_126,文理学部,寝室,武汉大学湖滨学生宿舍4舍,114.371389,30.541578,湖滨4舍 / 湖滨四舍 / 湖滨学生宿舍4舍,珞珈山16号武汉大学,★
poi_127,文理学部,寝室,武汉大学湖滨学生宿舍5舍,114.370936,30.541713,湖滨5舍 / 湖滨五舍 / 湖滨学生宿舍5舍,湖滨附近,★
poi_128,文理学部,寝室,武汉大学湖滨学生宿舍7舍,114.370996,30.542507,湖滨7舍 / 湖滨七舍 / 湖滨学生宿舍7舍,珞珈山16号武汉大学,★
poi_129,文理学部,寝室,武汉大学湖滨学生宿舍8舍,114.370968,30.54298,湖滨8舍 / 湖滨八舍 / 湖滨学生宿舍8舍,东湖南路26号附近,★
poi_130,文理学部,寝室,武汉大学湖滨学生宿舍9舍,114.370087,30.542786,湖滨9舍 / 湖滨九舍 / 湖滨学生宿舍9舍,八一路299号武汉大学内,★
poi_131,文理学部,寝室,武汉大学珞珈山公寓(东湖宿舍区),114.375781,30.530977,珞珈山公寓(东湖宿舍区),八一路483特1号,
poi_132,文理学部,寝室,湖滨14舍,114.370646,30.540622,湖滨十四舍,武汉大学工学部学生宿舍区。,★
poi_133,文理学部,寝室,湖滨二舍,114.370483,30.541048,湖滨2舍,武汉大学工学部学生宿舍区。,★
poi_134,文理学部,寝室,湖滨十七舍,114.369116,30.54203,湖滨17舍,武汉大学工学部学生宿舍区。,★
poi_135,文理学部,寝室,湖滨十三舍,114.369978,30.542088,湖滨13舍,武汉大学工学部学生宿舍区。,★
poi_136,文理学部,寝室,湖滨十六舍,114.368902,30.541816,湖滨16舍,武汉大学工学部学生宿舍区。,★
poi_137,文理学部,校门,凌波门,114.370732,30.543449,东湖凌波门 / 东湖南路凌波门 / 凌波门（工学部） / 武大凌波门,东湖南路凌波门栈桥，武大东湖标志性观景台（注：扬波门才是东门）。,
poi_138,文理学部,校门,武汉大学南门,114.365787,30.530204,南门,武汉大学武汉大学南门，校园出入口之一。,
poi_139,文理学部,校门,武汉大学科技门,114.360619,30.532047,科技门,武汉大学武汉大学科技门，校园出入口之一。,
poi_140,文理学部,校门,牌坊,114.35806,30.53318,主入口 / 八一路牌坊 / 国立武汉大学牌坊 / 校门 / 正门 / 武大正门,武大正门八一路老牌坊，国立武汉大学题字，校园主入口。,
poi_141,文理学部,景点,凌波门东湖观景点,114.370934,30.543459,凌波门东湖观景点-湖面栈道,东湖南路,
poi_142,文理学部,景点,凌波门栈桥,114.371353,30.543366,凌波门栈桥-拍栈桥朝霞 / 凌波门栈桥-栈桥上与湖景合影,东湖南路,
poi_143,文理学部,景点,凌波门码头,114.3737,30.542004,为你写诗东湖文创店 / 平湖珞樱观湖平台,武汉大学凌波门码头，校园出入口之一。,
poi_144,文理学部,景点,国立武汉大学日字斋,114.363528,30.539375,国立日字斋,珞珈山街道八一路299号武汉大学,
poi_145,文理学部,景点,武汉大学六一纪念亭,114.361451,30.536949,六一纪念亭,八一路299号武汉大学内,
poi_146,文理学部,景点,武汉大学半山庐,114.366798,30.535579,半山庐,珞珈山16号武汉大学珞珈山,
poi_147,文理学部,景点,武汉大学早期建筑,114.36386,30.540156,早期建筑,武汉大学校园景点，位于文理学部。,
poi_148,文理学部,景点,武汉大学李四光塑像,114.361745,30.537402,学生新4栋 / 李四光塑像 / 李四光雕像 / 武汉大学李四光雕像,珞珈山山路16号武汉大学内(六一惨案纪念亭对面),
poi_149,文理学部,景点,武汉大学李达故居,114.36436,30.532514,李达故居,武汉大学党委统战部-东中区,
poi_150,文理学部,景点,武汉大学枫园,114.371871,30.536865,,侧船山路1-2008-1号,
poi_151,文理学部,景点,武汉大学梅园,114.364587,30.535582,梅园CBD / 梅园一舍二舍 / 梅园宿舍区 / 梅操,珞珈山八一路483号武汉大学内(武汉大学内),
poi_152,文理学部,景点,武汉大学樱园,114.362638,30.539036,情人坡 / 武汉大学情人坡,武汉大学内,
poi_153,文理学部,景点,武汉大学樱花大道,114.363148,30.539116,樱园路 / 樱花大道 / 樱花大道（文理学部） / 樱花街 / 武大樱花 / 老斋舍路,珞珈山街道八一路299号武汉大学,
poi_154,文理学部,景点,武汉大学法治文化公园(珞珈山路),114.372628,30.532638,法治文化公园(珞珈山路),珞珈山街道八一路299号武汉大学,
poi_155,文理学部,景点,武汉大学火石山,114.365852,30.53744,火石山,学府路8号,
poi_156,文理学部,景点,武汉大学狮子山(樱园西路),114.364072,30.540565,狮子山(樱园西路),珞珈山街道八一路299号武汉大学,
poi_157,文理学部,景点,武汉大学珞珈山,114.37003,30.534684,十八栋 / 环山道 / 珞珈山 / 珞珈山18栋 / 珞珈山顶 / 罗家山,珞珈山街道八一路299号武汉大学珞珈山北三区17栋202号,
poi_158,文理学部,景点,武汉大学珞珈山水塔,114.372354,30.534958,珞珈山水塔,珞珈山街道八一路299号武汉大学,
poi_159,文理学部,景点,武汉大学珞珈广场,114.36075,30.534796,珞珈广场,科技路附近,
poi_160,文理学部,景点,武汉大学电力广场,114.362281,30.544491,电力广场,校园北路附近,
poi_161,文理学部,景点,武汉大学老斋舍,114.363891,30.539614,斋舍 / 樱台 / 樱园2舍 / 樱园屋顶 / 樱园顶 / 樱花城堡,珞珈山16号武汉大学,
poi_162,文理学部,景点,武汉大学落英湖,114.363237,30.537973,落英湖,珞珈山16号武汉大学,
poi_163,文理学部,景点,武汉大学闻一多,114.365089,30.540306,学生新1栋 / 闻一多,八一路299号武汉大学内,
poi_164,文理学部,景点,武汉大学鲲鹏广场,114.362168,30.538599,鲲鹏广场,八一路299号武汉大学内,
poi_165,文理学部,景点,珞珈山庄,114.368366,30.535861,,武汉大学校园景点，位于文理学部。,
poi_166,文理学部,校内服务,中国工商银行(武汉珞珈山支行),114.357207,30.539903,银行,武汉大学第二附属小学西南门西80米,
poi_167,文理学部,校内服务,中国邮政(武汉大学樱花邮政所),114.358025,30.541869,中国邮政(樱花邮政所) / 工学部49栋 / 武大邮政 / 邮局 / 邮政所,武汉大学第二附属小学西南门北230米,
poi_168,文理学部,校内服务,武汉大学医院,114.364092,30.533522,医院 / 校医院 / 武大医院,八一路299号,
poi_169,文理学部,校内服务,武汉大学教职工活动中心,114.364718,30.532966,教职工活动中心,珞瑜路37号武汉大学信息学部图书馆F5层,
poi_170,文理学部,校内服务,武汉大学老干部活动中心,114.366389,30.531827,老干部活动中心,珞珈山街道八一路299号武汉大学,
poi_171,工学部,教学科研,前沿交叉学科研究院,114.371714,30.534456,,武汉大学珞珈山别墅群第18栋,
poi_172,工学部,教学科研,工学部7号教学楼,114.363223,30.542546,工7教 / 工七教 / 工学部7教 / 工学部7教学楼 / 工学部七教 / 工学部七教学楼,武汉大学工学部教学楼，位于工学部核心教学区。,★
poi_173,工学部,教学科研,武汉大学中国边界与海洋研究院,114.367036,30.540185,中国边界与海洋研究院 / 标本楼,八一路299号,
poi_174,工学部,教学科研,武汉大学信息管理学院,114.375258,30.536589,信息管理学院 / 信息管理学院大楼 / 图书情报实验教学中心 / 武汉大学图书情报实验教学中心,珞珈山16号武汉大学,
